Text,Positive Probability,Negative Probability
왠지 믿음이 가지않는 치과   ,0.5264259576797485,0.4735740125179291
아주 친절해요,0.5377264022827148,0.46227362751960754
여기저기가 아프네  ,0.5362990498542786,0.46370095014572144
왜 이렇게 이가 속썩이는걸까    ,0.547059178352356,0.45294085144996643
친절해요,0.5284538865089417,0.47154611349105835
의사간호사님 다들 좋아요,0.5538192987442017,0.4461807608604431
친철해요,0.5248960852622986,0.4751039445400238
굿,0.5612562298774719,0.4387437701225281
데스크 친절하셔요,0.5382598042488098,0.4617401361465454
치료를 잘하세요,0.537693977355957,0.4623059928417206
친절히 잘 봐주세요,0.5138458609580994,0.48615413904190063
굿,0.5612562298774719,0.4387437701225281
상담을 잘해주세요,0.5356982350349426,0.46430179476737976
친절하게 잘 봐주세요,0.5103196501731873,0.48968032002449036
친절해요,0.5284538865089417,0.47154611349105835
 ,0.45653215050697327,0.5434678196907043
친절하고 과잉진료없고 스캘링도 잘해요,0.5336888432502747,0.46631112694740295
친절합니다 ,0.5047925114631653,0.49520745873451233
검진 받았어요 ,0.5537631511688232,0.44623687863349915
건강검진하러 갔는데  데스크 직원들은 다리꼬고 앉아서 손님들 응대도 제대로 안함  어수선하고 이리가라저리가라  이곳은 대기많으니 저쪽 가라  그래서 저쪽갔는데  거기도 대기많다 고 소변검사 먼저해라     정말 불쾌했음  두번다시 가고 싶지 않은곳 내용 더보기,0.5274850130081177,0.47251492738723755
너무너무 불친절,0.5360109210014343,0.4639890789985657
굿,0.5612562298774719,0.4387437701225281
친절해요,0.5284538865089417,0.47154611349105835
치료가마음어들어요,0.5483134388923645,0.4516865313053131
친절해요 ,0.5284538865089417,0.47154611349105835
진료를 잘 봐주십니다,0.5035527348518372,0.49644726514816284
설명이 친절해요,0.5314387083053589,0.4685613214969635
가까운곳이라 자주 이용합니다 ,0.543280839920044,0.45671916007995605
설명이 자세해요,0.5360334515571594,0.4639665186405182
친절해요  ,0.5284538865089417,0.47154611349105835
 진료실 화목토 원장님 잘봐주심,0.5414377450942993,0.4585622251033783
  ,0.45653215050697327,0.5434678196907043
간호사분들 원장님 모두모두 친절하셨어요 긴장했었는데 덕분에 검사 잘 받고 갑니다   ,0.540244996547699,0.4597550332546234
친절해요  ,0.5284538865089417,0.47154611349105835
의사선생님께서 친절하시고  시설도 쾌적하고 좋았습니다,0.5435746312141418,0.45642539858818054
친절해요,0.5284538865089417,0.47154611349105835
항상  친절하시고  과잉진료  안하셔서  좋아요   ,0.5471631288528442,0.45283690094947815
항상 친절하게 대해주시고 치료도 잘 해주십니다     ,0.5109798312187195,0.4890201687812805
 ,0.45653215050697327,0.5434678196907043
친절해요,0.5284538865089417,0.47154611349105835
좋아요 ,0.5612562298774719,0.4387437701225281
아이들 초등학생때부터 다닌지   년 됐는데 항상 치료도 잘 해주시고 한결 같이 친절하게 해주셔서 너무 좋습니다  ,0.5381230115890503,0.4618769586086273
원장님이 정성을 다해 치료해주시고 설명을 해주어 안심하고 치료를 잘 받고 있습니다 테니스웰보였는데 많이 좋아지고 있어요 ,0.539629340171814,0.46037065982818604
원장님 이 되게 친절 하고  자세 하게 설명 을 잘해주십니다,0.5336729884147644,0.4663269817829132
친절해요,0.5284538865089417,0.47154611349105835
팔꿈치가 아파서 주 일회씩 주사를 맞고 있는데 효과가 괜찮은거 같아 좋아요,0.5290260910987854,0.470973938703537
꾸준한 물리치료받으면 서 점저 좋아지고 아음을 느낌니다,0.5344740152359009,0.4655260443687439
팔굼치가 아주 불폄했는데 치료를 잘받고  있습니다,0.5474123954772949,0.4525876045227051
좋아요,0.5612562298774719,0.4387437701225281
 ,0.45653215050697327,0.5434678196907043
근 골격계 통증이 있을때 항상 진료 받는 정형외과인데 이번엔 손가락을 베여 치료를 받았네요  원장선생님의 세심하고 정성스런 진료 덕분에 상처가 잘 아물어 오늘 실밥을 풀었습니다   원장님 간호사선생님 감사합니다 내용 더보기,0.5381640195846558,0.46183598041534424
자세히설명,0.538074254989624,0.4619257152080536
선생님이 핀절하시고 설명 잘 해 주십니다 ,0.5214917659759521,0.47850820422172546
선생님과 직원분 친절하시고 치료효과도 좋아요,0.5449085831642151,0.4550914168357849
주아요,0.5467218160629272,0.4532780945301056
굿,0.5612562298774719,0.4387437701225281
침 맞는거 무서워 긴장하고 갔는데 친절하고 자상하게 잘 치료해 주셔서 감사해요  덕분에 한결 좋아졌답니다   ,0.5281175374984741,0.47188255190849304
조아요 ,0.5491192936897278,0.4508807063102722
너무 좋아요 체해서 속이 더 부룩했는데 침맞고 주신약을 먹었더니 완전 편해졌어요  ,0.5320677161216736,0.46793225407600403
원장님이 정말 친절하시고 치료도 잘하세요  특히 추나치료는 너무 시원합니다   목이랑 허리가 불편했는데 한번에 시원해졌어요  강추해요,0.5294031500816345,0.47059690952301025
원장님 침도 꼼꼼히 나주시고 친절해서 좋아요 주차장이 없다는게 흠이긴 하지만요,0.5359720587730408,0.46402791142463684
친절하고 침도 잘 놔주시는데 예전보다 금액이 좀 비싸졌네요 ,0.5424777865409851,0.4575222134590149
친절해요 ,0.5284538865089417,0.47154611349105835
친절하십니다,0.5000249147415161,0.4999751150608063
친절하고 잘 봐주세여 ,0.5215374231338501,0.4784626364707947
통원 몇번했는데 대부분 친절하시고 좋아요,0.5480173826217651,0.45198267698287964
내시경 받았어요  내과쌤들 참 친절하세요 ,0.5360580086708069,0.4639419913291931
내과 검진 잘 받았어요,0.5452731847763062,0.4547267556190491
잘 다녀왔어요,0.5506200194358826,0.4493800401687622
굿,0.5612562298774719,0.4387437701225281
굿,0.5612562298774719,0.4387437701225281
원장선생님 넘  친절하시고 좋으세요,0.5476766228675842,0.45232337713241577
선생님 너무 친절하세요 과잉 진료 절대 없으십니다  어머니 아버지 할머니 모두 모시고 오고 싶은 곳입니다  다른 병원같은 경우 더한 진료보고 더 많은 비용 청구하고 하는데 여기는 절대 그런거 없어요  감사합니다 선생님,0.5334324240684509,0.46656763553619385
친절해요,0.5284538865089417,0.47154611349105835
어제 치루 수술하고  박 입원 후 오늘 아침 퇴원하고 집으로 왔습니다  조목조목 설명 잘해주시고 친절하고 마음이 편안합니다  의사선생님과 간호사 여러분께 감사드립니다 ,0.5353478789329529,0.4646521806716919
후기대로 정말 친절하고 과잉진료도 없네요   최고의 선택이였습니다   ,0.5507895350456238,0.449210524559021
친절해요 ,0.5284538865089417,0.47154611349105835
치,0.5201011300086975,0.4798988997936249
치핵 기 수술했어요 친절해요,0.5387270450592041,0.4612729251384735
친절해요,0.5284538865089417,0.47154611349105835
친절해요,0.5284538865089417,0.47154611349105835
굿,0.5612562298774719,0.4387437701225281
굿,0.5612562298774719,0.4387437701225281
좋아요  ,0.5612562298774719,0.4387437701225281
쏘쏘   동네 큰 내과라 다녀왔어요,0.5386072993278503,0.46139267086982727
친절해요  ,0.5284538865089417,0.47154611349105835
친절해요 ,0.5284538865089417,0.47154611349105835
독감접종 하고왔어요  병원이 컸는데 다들 안내도 친절하게 해주시고  빠르게 접종후 귀가했어요  병원이 깨끗하고 주사비도 저렴해서 계속 다니려고합니다 ,0.5374898910522461,0.4625101089477539
 ,0.45653215050697327,0.5434678196907043
굿,0.5612562298774719,0.4387437701225281
적당합니다 ,0.5094594359397888,0.49054062366485596
병원,0.5281296372413635,0.47187039256095886
적당합니다,0.5094594359397888,0.49054062366485596
너무너무 꼼꼼하게 신경치료 끝       다음주에 진짜 마무리하는날  대장정이 끝이 보입니다  원장님 간호사님 실장님들 다 너무 감사해요    주변 소개 많이많이 할거예요 너무 잘하는  병원임 내용 더보기,0.5394034385681152,0.4605965316295624
세번째 신경치료  다음번이 끝이다   마취주사가 무서워서  떨면서 갔는데 마취도 안하고 끝났네   턱이 좀 약한편이여서 이번에도 물리치료 했어용 눈 가리고 꿀맛같은 낮잠까지 자고 왔네요   아프면 인형 누르라고 주셨는데 한번도  안눌렀네요     감사합니다 다음주 치과 휴가전에 치료 다 끝나네요 신나요      내용 더보기,0.5357586145401001,0.46424147486686707
 ,0.45653215050697327,0.5434678196907043
진짜 최고의 진료    신경치료 여기선 처음인데  전에 치료했던곳 기억이 있어서  진짜 긴장많이 했거든요 그런데 의사선생님도  그렇고 간호사님 실장님 진짜 너무너무  친절하고 설명 도 편하게 잘해주시고  너무 잘해주셔서 믿고 평생 다녀도 될  치과예요     감사해요 내용 더보기,0.524611234664917,0.47538870573043823
처음 방문 했는데 친절하시고 세심하게 진료해주셔서 재방문 하겠습니다,0.5367739200592041,0.4632260799407959
굿 ,0.5612562298774719,0.4387437701225281
약의  효과를 보아서 너무 감사 합니다 ,0.5402657389640808,0.4597342312335968
친절한 한의원,0.5212097764015198,0.4787902534008026
친절해요 ,0.5284538865089417,0.47154611349105835
 ,0.45653215050697327,0.5434678196907043
친절한 한의원입니다,0.5134370923042297,0.4865628778934479
친절하고   좋은재료로 건강을 찾았어요 ,0.5493978261947632,0.4506022334098816
좋아요,0.5612562298774719,0.4387437701225281
시설은 좀 예던모습니지만 의사선생님고 츤데레  간호사 선생님도 좋아요  ,0.5444080233573914,0.45559197664260864
친철하셔요,0.5206006765365601,0.4793993830680847
콧 속에 심한 염증때문에 갔어요  금방 진료해주셔서 감사했어요,0.5380141735076904,0.46198582649230957
 ,0.45653215050697327,0.5434678196907043
아프면 항상가는 병원 좋아요,0.5427372455596924,0.45726269483566284
친절하고 처방받은 약이 잘 들어요,0.5396673679351807,0.46033260226249695
친절 해요 ,0.5242393016815186,0.47576069831848145
친절하고 진료를 잘보세요  과잉진료도 하지않아요  ,0.5522682070732117,0.4477318227291107
좋아요,0.5612562298774719,0.4387437701225281
에고 코로나 확진이네여,0.5281527042388916,0.4718473553657532
상담을 잘해주세요,0.5356982350349426,0.46430179476737976
꼼꼼하게 잘해주세요,0.5399617552757263,0.46003830432891846
친절해요 ,0.5284538865089417,0.47154611349105835
친절하고 진료를 잘해주세요,0.537278950214386,0.4627211093902588
꼼꼼해요 친절해요 믿음이 가요,0.5458527207374573,0.45414721965789795
세심하고 친절해요  ,0.539326012134552,0.4606739282608032
친절해요,0.5284538865089417,0.47154611349105835
 ,0.45653215050697327,0.5434678196907043
원장님이  진짜 세심하게 치료해 주세요 간호사님들도  변함없이  그대로여서 좋아요,0.54588782787323,0.45411214232444763
굿,0.5612562298774719,0.4387437701225281
친절합니다,0.5047925114631653,0.49520745873451233
좋아여,0.5612562298774719,0.4387437701225281
굿,0.5612562298774719,0.4387437701225281
조아요,0.5491192936897278,0.4508807063102722
자세한 설명 과  친절함에 마음이 편해요,0.5409165024757385,0.45908352732658386
원장님 꼼꼼하게  진료잘하시고 간호사   치위생사분들   모두 친절하세요  멀지만  꼭  가서  진료받는 곳입니다내용 더보기,0.5317069888114929,0.4682930111885071
좋아요,0.5612562298774719,0.4387437701225281
스케일링을 잘해요,0.5276939272880554,0.47230613231658936
친절합니다 ,0.5047925114631653,0.49520745873451233
의사쌤이 친절해요 ,0.5350022315979004,0.4649977684020996
굿,0.5612562298774719,0.4387437701225281
굿,0.5612562298774719,0.4387437701225281
거평한의원 다닌지 오래되었어요   만성 위장장애로 인해   생활이 힘들어지면 양약으로 회복 불가한걸   보약 먹고 활력을 되찾고해요   너무나 믿음이 있는 곳이기에 저희 식구들 다 이 곳으로 다니고 있답니다   시설은 좀 오래 되었지만    선생님 너무나 친절하시고   보약 잘받는거 말할 것도 없고    침도 너무 잘 놓아주셔요     보약 금액도 다른곳 보다 저렴하게 받으 세요   감사합니다    진심 이런거 잘 안 쓰는데   쓰려고 영수증 챙겼어요    거평한의원 오래오래 번창했음 좋겠어요   감사합니다  내용 더보기,0.5190783143043518,0.4809216856956482
좋아요  ,0.5612562298774719,0.4387437701225281
어깨 다쳐서 오랜만에 갔어요  여전히 다들 친절하시고  잘 봐주세요  ,0.5350428223609924,0.46495723724365234
친절하세요  효과가 좋아요,0.5419395565986633,0.4580603837966919
꼼꼼한 진료와 침  소화 안될때나 생리쪽 안좋을때 가서 한약 먹고 침 맞고 부황 뜨면 정말 건강해져요 과잉진료도 없어서 더 조아요 원장님의 오래된 내공이 느껴져요,0.531413733959198,0.4685863256454468
친절하게 설명도 잘해주시고 치료도 잘해주시네요,0.5268466472625732,0.47315341234207153
좋아요 ,0.5612562298774719,0.4387437701225281
좋아요 ,0.5612562298774719,0.4387437701225281
친절해요,0.5284538865089417,0.47154611349105835
굳,0.5612562298774719,0.4387437701225281
친절해요,0.5284538865089417,0.47154611349105835
친절해요 ,0.5284538865089417,0.47154611349105835
좋아요   ,0.5612562298774719,0.4387437701225281
굿,0.5612562298774719,0.4387437701225281
굿,0.5612562298774719,0.4387437701225281
어깨와 목 팔저림으로 봉침과 추나 받았습니다  정형외과보다 효과가 있는 것 같아서 꾸준히 받아보려고 합니다  ,0.5357760190963745,0.4642239511013031
속이 안좋아서 여기서 침맞고 한약먹었는데 많이 좋아졌어요 허리를 삐끗해서 치료받는중인데 다른곳보다 효과가 좋네요 원장님 친절하셔서 좋습니다  ,0.5381207466125488,0.46187931299209595
친절하고 침도 잘 나주시고 상담도 잘해주세요,0.5184844136238098,0.4815155267715454
친절한상담과 침치료 물리치료 넘 잘해주세요,0.5238481760025024,0.47615188360214233
친절해요 ,0.5284538865089417,0.47154611349105835
원장님  친절하시고  열정적이세요,0.5258400440216064,0.47415995597839355
 ,0.45653215050697327,0.5434678196907043
  ,0.45653215050697327,0.5434678196907043
좋아요,0.5612562298774719,0.4387437701225281
친절해요 ,0.5284538865089417,0.47154611349105835
굳,0.5612562298774719,0.4387437701225281
굿,0.5612562298774719,0.4387437701225281
항외과가  맞나 의심스러울 정도로 실력이 형편없으시더라구요 건성건성 대충대충 내시경 보고 오진 하심 치열과 치루 증상으로 내원햇으나  치질약 처방해주심    호전되질않아서  일 주일후 길 건너에 있는 송도외과의원에 다시 검사를받았더니  아주 자세히 내시경 보여주시며 치열과 치루라고 진단해주심 그곳에서 치료잘받구 좋아졌네요 참고하세요 여러분내용 더보기,0.5385026335716248,0.46149736642837524
항문외과중에 괜찮은곳  ,0.5506532788276672,0.44934672117233276
친절합니다,0.5047925114631653,0.49520745873451233
많이 친절해요,0.5436921715736389,0.4563077986240387
친절합니다,0.5047925114631653,0.49520745873451233
굿,0.5612562298774719,0.4387437701225281
친절함,0.557845413684845,0.4421546459197998
허리아플때 갑니다,0.5398014187812805,0.4601985812187195
진료비가 좀 비싸서 아쉽지만 설명도 잘해주시고 친절해요,0.5298917293548584,0.4701082408428192
원장님이 너무 친절하시고  시설도 너무 깨끗하고 좋습니다 ,0.5447546243667603,0.45524540543556213
 ,0.45653215050697327,0.5434678196907043
선생님이 친절하시고  자상히 잘 알려주시네요   감사합니다 ,0.5294708609580994,0.470529168844223
 ,0.45653215050697327,0.5434678196907043
실내도  깔끔하구   원장님이 친절하시구  치료도 잘해주시네요 환자 마음을  잘알아주시구 다정한  선생님덕에 뺠리 치로가 되는 느낌이네요,0.5356857776641846,0.46431419253349304
친절함 ,0.557845413684845,0.4421546459197998
좋아요 ,0.5612562298774719,0.4387437701225281
친절해요 ,0.5284538865089417,0.47154611349105835
너무 한의원이 좋아요,0.5478142499923706,0.45218583941459656
시설이 너무 좋아요,0.5424469709396362,0.45755305886268616
좋아요,0.5612562298774719,0.4387437701225281
아픈곳도 꼼꼼하게 물어봐 주시고 무엇보다 친절하세요 어른들이 많이 가세요 저희 아버지도 종종가서 물리치료받겠다 하시고 좋 습니다,0.5440120697021484,0.45598793029785156
친절 굳,0.5495468378067017,0.4504531919956207
올 해 새로 우리 동네 오픈한 경희금손한의원  어깨 목 결림 심해서  맛사지 만으로는 효과가 없는것 같아 들렀는데    직원들과 원장님의 친절은 기본이고  엎드릴때 허리가 아픈 저는 배 에 받침대 깔아주는 센스가 감사했고 배와 어깨 부위 핫팩  부항 침 약침 뜸 파스   등등과  하루치 한방약 세 포 까지        새심하고 꼼꼼하게 치료 해 주셔서 감사한 마음으로  몸도 기분 도 가뿐하게 두번째 치료 끝나고 나왔습니다     주변 지인분들께 꼭 추천 해 드리고 싶은 한의원 입니다  내용 더보기,0.5194116830825806,0.48058828711509705
굿,0.5612562298774719,0.4387437701225281
친절하시고 치료도 잘해주십니다 ,0.5134087800979614,0.4865912199020386
친절하게 잘봐주셔서 감사드려요   ,0.52597576379776,0.4740241765975952
잘봐주셔서 감사드립니다   ,0.535624086856842,0.46437591314315796
친절해요,0.5284538865089417,0.47154611349105835
깨끗해요,0.5612562298774719,0.4387437701225281
침을 참 잘 치료하셔요,0.5283564925193787,0.47164350748062134
꼼꼼한설명  침치료가 잘듣는것같아요,0.5420708656311035,0.45792916417121887
친절한설명 꼼꼼한치료  감사드려요   ,0.5381981134414673,0.4618018567562103
친절해요,0.5284538865089417,0.47154611349105835
좋아요 ,0.5612562298774719,0.4387437701225281
굿굿,0.5612562298774719,0.4387437701225281
쥬 요 조어요 조아요 조어요,0.5434345006942749,0.4565654695034027
  ,0.45653215050697327,0.5434678196907043
치료받고 추석 선물까지 받았네요  푸짐한 선물 감사합니다 ,0.5373545289039612,0.4626454710960388
친절하시고 추석이라고 선물도주시네요,0.5288271307945251,0.47117286920547485
아프면 가는데  같은건물 정형외과보다  여기가 더 잘 봄 나한테 여기 선생님은 화타임내용 더보기,0.5342919230461121,0.46570801734924316
좋아요,0.5612562298774719,0.4387437701225281
친절하시고 좋아요,0.5510379076004028,0.44896209239959717
친절하십니다 ,0.5000249147415161,0.4999751150608063
 ,0.45653215050697327,0.5434678196907043
 ,0.45653215050697327,0.5434678196907043
너무 친절하시고 침도 안아프게 잘 놓아주세요  다음주에 뵙겠습니다,0.5460086464881897,0.4539914131164551
처음 방문하는 곳인데 너무 친절하고  꼼꼼한 진료와 치료를 해주셨습니다  사진처럼 경옥고와 치료를 위한 안내물도 주시고  한약도 주셨어요  당분간은 이곳에서 치료에 전념할 생각입니다 ,0.5393275022506714,0.460672527551651
손목치료 받았는데 모두 친절하셔서 편하게 받았네요 ,0.5377447009086609,0.4622552990913391
시설 깨끗하고 치료받을 때 환복할 옷이 준비되어 있어서 좋았어요  의료진이 잘 들어주시고 세심히 설명해주셔서 좋았습니다  체질약과 경옥고도 감사합니다 ,0.5369317531585693,0.4630682170391083
교통사고 후유증 치료차 방문하였어요 평소 불편한 중상도 얘기했는데  친절히 답변해주시고 정성스럽게 치료 해주셨어요 남은 치료도 잘 부탁드려요 간호사님들도 친절하십니다,0.5317056775093079,0.46829429268836975
직원분들 너무친절하고 시설도 좋네요 원장님이 추나치료와 침을 잘놔주셔서 한결나아졌어요 감사합니다 ,0.5354775190353394,0.46452251076698303
진료 잘봐주시고 모두가 친철합니다,0.5183784365653992,0.48162153363227844
좋아요,0.5612562298774719,0.4387437701225281
친절해요,0.5284538865089417,0.47154611349105835
굿,0.5612562298774719,0.4387437701225281
좋아요,0.5612562298774719,0.4387437701225281
 ,0.45653215050697327,0.5434678196907043
좋아요,0.5612562298774719,0.4387437701225281
좋아요 ,0.5612562298774719,0.4387437701225281
굿,0.5612562298774719,0.4387437701225281
좋아요,0.5612562298774719,0.4387437701225281
너무 친절하고 아픈곳을 잘봐주세요  효과도 너무 좋아요 ,0.5391107201576233,0.4608893096446991
너무 친절하고 아픈곳을 잘봐주세요  효과도 너무 좋아요                    ,0.5391107201576233,0.4608893096446991
  대라 한의원은 처음 가보는데 친절하게 잘 진료해주셔서 좋았어요   발목 아플때는 정형외과보다 한의원가서 침맞는게 더 좋다더니 정말 침맞고 많이 나아졌어요   ,0.5361027717590332,0.4638972580432892
진료 잘해요  ,0.5296757817268372,0.47032421827316284
좋아요,0.5612562298774719,0.4387437701225281
전문적임  한의사 분 좋으심 ,0.5409257411956787,0.4590742886066437
침 치료에 대한 효과는 봤으나  원장님이 환자에 대한 공감 능력이 부족함  ,0.53679358959198,0.4632064402103424
침치료 효과도 좋고 원장님도 간호사님들도 다들 너무 친절하시고 편하게 해주셔서 계속 찾게 돼요 ,0.5388659238815308,0.4611341059207916
좋아요 ,0.5612562298774719,0.4387437701225281
좋아요,0.5612562298774719,0.4387437701225281
굿,0.5612562298774719,0.4387437701225281
매번 친절하고 자세하게 잘 봐주십니다  감사합니다   ,0.5244669318199158,0.47553303837776184
오른 쪽 어깨를 치료받고 있습니다   회 이후부터 팔도 올라가고 통증도 줄어들고 있어요    감사합니다   ,0.5405599474906921,0.4594400227069855
출산하고 점점 아파진 허리통증에 목통증도 같이와서 치료받았는데 너무너무 친절하고 시원해요 ,0.5305435061454773,0.4694564938545227
원장선생님 간호사분들 모두 친절하셔서 항상 편한 마음으로 치료 받을수 있어 좋아요  ,0.5410764813423157,0.4589235186576843
편안해서좋아요,0.5612562298774719,0.4387437701225281
친절행해요,0.5332446694374084,0.46675536036491394
친절합니다,0.5047925114631653,0.49520745873451233
 ,0.45653215050697327,0.5434678196907043
좋아요 ,0.5612562298774719,0.4387437701225281
시원해요  치료 잘 받고 있어요 ,0.5413586497306824,0.4586413502693176
굿,0.5612562298774719,0.4387437701225281
한의사님이 친절하시고 꼼꼼하게 침잘놔주세요  몇년째 다니고 있어요  ,0.5500292778015137,0.4499707520008087
굿굿,0.5612562298774719,0.4387437701225281
친절해요,0.5284538865089417,0.47154611349105835
좋은거 같아요 한의원도 한번씩 들립니다,0.5328958034515381,0.4671042263507843
굿굿,0.5612562298774719,0.4387437701225281
아픈데 많이 좋아짐,0.5578721761703491,0.44212785363197327
선생님과 직원들이 친절하세요 ,0.5326403975486755,0.46735960245132446
침 처음 맞아보는데 시원함  ,0.5454369187355042,0.4545631408691406
좋아요 ,0.5612562298774719,0.4387437701225281
친절하고 좋아요,0.5506575703620911,0.44934239983558655
좋아요,0.5612562298774719,0.4387437701225281
친절해요  ,0.5284538865089417,0.47154611349105835
좋아요 ,0.5612562298774719,0.4387437701225281
굿,0.5612562298774719,0.4387437701225281
저하고 여기가 맞는거 같아요 정말 편해요,0.5349056124687195,0.4650944173336029
치료도 꼼꼼히 잘 해주십니당   ,0.5245646238327026,0.47543537616729736
선생님 상담이 자세하고  치료도 잘해주십니당  ,0.5301041007041931,0.4698959290981293
 ,0.45653215050697327,0.5434678196907043
선생님 상담이 자세하고  참 친절하세요 ,0.5360504984855652,0.4639495015144348
굿,0.5612562298774719,0.4387437701225281
친절이 치료 잘 받았어요,0.5393988490104675,0.46060121059417725
친절해요 ,0.5284538865089417,0.47154611349105835
치료 잘하시는것 같아요  한번만 맞고와도 효과가 있네요 ,0.5401114821434021,0.45988842844963074
침을 잘 놔요,0.5245190262794495,0.47548091411590576
친절하고 꼼꼼한진료 좋아요,0.5526033043861389,0.4473966658115387
 ,0.45653215050697327,0.5434678196907043
좋아요,0.5612562298774719,0.4387437701225281
친절하심다,0.5166159272193909,0.4833841323852539
친절하고 잘 치료되요,0.5456379652023315,0.45436203479766846
친절해요 ,0.5284538865089417,0.47154611349105835
엄청 친절해요,0.5241164565086365,0.4758835434913635
친절하십니다 ,0.5000249147415161,0.4999751150608063
굿,0.5612562298774719,0.4387437701225281
친절해요,0.5284538865089417,0.47154611349105835
친절해요,0.5284538865089417,0.47154611349105835
가끔 감,0.566575288772583,0.43342480063438416
친절하세요,0.5160623788833618,0.48393771052360535
의사쌤이 너무 친전하시고 자세히 상담해주셨어요 이제 약 먹어보고 있는데 효과까지 좋았음 좋겠네요 ,0.5458033084869385,0.4541966915130615
내원할때마다 너무 친절하시고 봉침맞은후 효과가 너무좋네요 감사합니다   ,0.5384261012077332,0.4615738093852997
좋아요 ,0.5612562298774719,0.4387437701225281
지난주에 허리를 삐끗해서 처음 진료받고 오늘 세번째 방문인데 원장님 진짜 열심히 치료해주시고 운동까지 알려주시고 너무 좋았어요,0.5498883128166199,0.45011162757873535
친절해요 ,0.5284538865089417,0.47154611349105835
약재설명이 자세해요,0.5448318719863892,0.45516812801361084
허리가 너무 아파서 갖는데 원장님이 설명도 잘해주시고 추나랑 봉침맞고 나니까 정말 좋아 졌어요 면목역 근처에서는 제일 잘하시는듯     ,0.5402680039405823,0.4597320854663849
친절해요 ,0.5284538865089417,0.47154611349105835
친절합니다,0.5047925114631653,0.49520745873451233
단골입니다,0.5136336088180542,0.486366331577301
친절해요,0.5284538865089417,0.47154611349105835
 년만에 들렸어요 몸이 안좋아져 왔는데  치료와 상담을 잘받았습니다  아플때 자주가는 단골입니다   내용 더보기,0.5368426442146301,0.46315738558769226
허리가 안좋아서 방문한 한의원   선생님은 친절하시구 상냥하시구    침이 무서워서 긴장했는데   아프지않게 잘 놓아주셨다   맞고나서 허리가 훨씬 부드러워 진게 살거같다  담 에도 방문 저장    치료 잘 해주셔서 감사합니다  내용 더보기,0.5259675979614258,0.47403234243392944
친절해요,0.5284538865089417,0.47154611349105835
친절해요,0.5284538865089417,0.47154611349105835
친절해요,0.5284538865089417,0.47154611349105835
친절하고  진료도 잘해요,0.5303696393966675,0.4696304500102997
굿,0.5612562298774719,0.4387437701225281
친절해요,0.5284538865089417,0.47154611349105835
굿,0.5612562298774719,0.4387437701225281
좋아요,0.5612562298774719,0.4387437701225281
좋아용,0.5612562298774719,0.4387437701225281
진단이 모호한 상태인데 의구심을 가지고 진단해주시려는 의사쌤에게 감사했습니다  ,0.5419653654098511,0.4580346643924713
원장님 너무 친절하세요  그리고 간호사님들도 모두 친절하세요 병원 깔끔하고 조용하고 좋아요    원장님께서 침도 안아프게 잘 치료해주십니당   집 주변에 한의원 찾다가 추천받고 갔 는데 만족해용 내용 더보기,0.5279009938240051,0.4720990061759949
완전 친철하시고 서비스도 좋아요  자주 방문해요,0.5257700085639954,0.47422996163368225
