,name,hospital_id,nickname,content,date,revisit
2,LBO산치과의원,19524713,sonya0187,친절하고 과잉진료없고 스캘링도 잘해요,10.5.목,1번째 방문
3,LBO산치과의원,19524713,dlt****,친절합니다 ,9.27.수,1번째 방문
4,LBO산치과의원,19524713,줴27,검진 받았어요~,9.16.토,1번째 방문
5,LBO산치과의원,19524713,복숭아냠냠냠,"건강검진하러 갔는데, 데스크 직원들은 다리꼬고 앉아서 손님들 응대도 제대로 안함. 어수선하고 이리가라저리가라  이곳은 대기많으니 저쪽 가라. 그래서 저쪽갔는데  거기도 대기많다
고 소변검사 먼저해라.... 정말 불쾌했음. 두번다시 가고 싶지 않은곳.내용 더보기",8.21.월,1번째 방문
6,LBO산치과의원,19524713,하이도로시,너무너무 불친절,7.26.수,1번째 방문
7,LBO산치과의원,19524713,god****,굿,6.12.월,1번째 방문
8,LBO산치과의원,19524713,44****,친절해요,5.13.토,1번째 방문
9,LBO산치과의원,19524713,김계순40,치료가마음어들어요,5.3.수,1번째 방문
0,LBO의원,12806463,지영마미,친절해요 ,11.16.목,6번째 방문
1,LBO의원,12806463,한얼령,진료를 잘 봐주십니다,11.15.수,4번째 방문
2,LBO의원,12806463,들장미21,설명이 친절해요,11.14.화,3번째 방문
3,LBO의원,12806463,한얼령,가까운곳이라 자주 이용합니다.,11.10.금,3번째 방문
4,LBO의원,12806463,들장미21,설명이 자세해요,11.3.금,2번째 방문
5,LBO의원,12806463,두지23,친절해요. ,11.3.금,1번째 방문
6,LBO의원,12806463,AgentRalph,1진료실 화목토 원장님 잘봐주심,11.2.목,17번째 방문
7,LBO의원,12806463,bed****,👍 ,10.30.월,1번째 방문
8,LBO의원,12806463,dnl****,"간호사분들 원장님 모두모두 친절하셨어요
긴장했었는데 덕분에 검사 잘 받고 갑니다 👍🏻",10.28.토,1번째 방문
9,LBO의원,12806463,하루8689,친절해요. ,10.27.금,1번째 방문
0,UC성심치과의원,13095746,gan****,"의사선생님께서 친절하시고 
시설도 쾌적하고 좋았습니다",11.11.토,1번째 방문
1,UC성심치과의원,13095746,qwq****,친절해요,10.28.토,2번째 방문
2,UC성심치과의원,13095746,hu****,항상  친절하시고  과잉진료  안하셔서  좋아요.  ,10.12.목,1번째 방문
3,UC성심치과의원,13095746,새벽6189,항상 친절하게 대해주시고 치료도 잘 해주십니다....!,9.26.화,1번째 방문
4,UC성심치과의원,13095746,lov****, ,9.26.화,1번째 방문
5,UC성심치과의원,13095746,박경미19,친절해요,9.20.수,3번째 방문
6,UC성심치과의원,13095746,HEE7476,좋아요 ,9.5.화,6번째 방문
7,UC성심치과의원,13095746,k01****,"아이들 초등학생때부터 다닌지 14년 됐는데 항상 치료도 잘 해주시고 한결 같이 친절하게 해주셔서 너무 좋습니다.
",8.31.목,1번째 방문
8,UC성심치과의원,13095746,HEE7476,좋아요 ,8.29.화,5번째 방문
9,UC성심치과의원,13095746,HEE7476,좋아요 ,8.28.월,4번째 방문
0,가톨릭정형외과의원,19517303,su9****,"원장님이 정성을 다해 치료해주시고 설명을 해주어 안심하고 치료를 잘 받고 있습니다 테니스웰보였는데 많이 좋아지고 있어요
",11.16.목,8번째 방문
1,가톨릭정형외과의원,19517303,jyh****,원장님 이 되게 친절 하고  자세 하게 설명 을 잘해주십니다,11.11.토,1번째 방문
2,가톨릭정형외과의원,19517303,Ham 0130,친절해요,11.10.금,1번째 방문
3,가톨릭정형외과의원,19517303,su9****,팔꿈치가 아파서 주 일회씩 주사를 맞고 있는데 효과가 괜찮은거 같아 좋아요,11.9.목,7번째 방문
4,가톨릭정형외과의원,19517303,su9****,꾸준한 물리치료받으면 서 점저 좋아지고 아음을 느낌니다,11.7.화,6번째 방문
5,가톨릭정형외과의원,19517303,su9****,팔굼치가 아주 불폄했는데 치료를 잘받고  있습니다,11.3.금,5번째 방문
6,가톨릭정형외과의원,19517303,Rockstar,좋아요,10.11.수,1번째 방문
7,가톨릭정형외과의원,19517303,Mmm987456,ㆍ,10.6.금,4번째 방문
8,가톨릭정형외과의원,19517303,책읽는 마녀,"근,골격계 통증이 있을때 항상 진료 받는 정형외과인데 이번엔 손가락을 베여 치료를 받았네요. 원장선생님의 세심하고 정성스런 진료 덕분에 상처가 잘 아물어 오늘 실밥을 풀었습니다
. 원장님,간호사선생님 감사합니다!내용 더보기",10.4.수,1번째 방문
9,가톨릭정형외과의원,19517303,you****,자세히설명,9.27.수,1번째 방문
0,감천한의원,1510131440,yas902,선생님이 핀절하시고 설명 잘 해 주십니다.,22.9.8.목,1번째 방문
1,감천한의원,1510131440,oli****,선생님과 직원분 친절하시고 치료효과도 좋아요,22.9.8.목,1번째 방문
2,감천한의원,1510131440,쏭 주인장님,주아요,22.5.31.화,2번째 방문
3,감천한의원,1510131440,쏭 주인장님,굿,22.5.26.목,1번째 방문
4,감천한의원,1510131440,uagkim,"침 맞는거 무서워 긴장하고 갔는데 친절하고 자상하게 잘 치료해 주셔서 감사해요~
덕분에 한결 좋아졌답니다~^^",22.3.28.월,1번째 방문
5,감천한의원,1510131440,rla****,조아요 ,22.2.26.토,1번째 방문
6,감천한의원,1510131440,아기곰9575,너무 좋아요 체해서 속이 더 부룩했는데 침맞고 주신약을 먹었더니 완전 편해졌어요^^,20.12.31.목,1번째 방문
7,감천한의원,1510131440,lascer,원장님이 정말 친절하시고 치료도 잘하세요. 특히 추나치료는 너무 시원합니다.  목이랑 허리가 불편했는데 한번에 시원해졌어요. 강추해요,20.12.31.목,1번째 방문
8,감천한의원,1510131440,coco231,"원장님 침도 꼼꼼히 나주시고 친절해서 좋아요
주차장이 없다는게 흠이긴 하지만요",20.8.4.화,1번째 방문
9,감천한의원,1510131440,오서방845,친절하고 침도 잘 놔주시는데 예전보다 금액이 좀 비싸졌네요~,20.7.10.금,1번째 방문
0,강북21세기병원,12856585,비이버,친절해요 ,11.17.금,1번째 방문
1,강북21세기병원,12856585,맛있어서개굴개굴,친절하십니다,11.16.목,4번째 방문
2,강북21세기병원,12856585,yis****,친절하고 잘 봐주세여~,10.28.토,1번째 방문
3,강북21세기병원,12856585,맛있어서개굴개굴,통원 몇번했는데 대부분 친절하시고 좋아요,10.27.금,3번째 방문
4,강북21세기병원,12856585,맛있어서개굴개굴,내시경 받았어요. 내과쌤들 참 친절하세요🫶,10.20.금,2번째 방문
5,강북21세기병원,12856585,맛있어서개굴개굴,내과 검진 잘 받았어요,10.12.목,1번째 방문
6,강북21세기병원,12856585,김보빈님,잘 다녀왔어요,10.11.수,1번째 방문
7,강북21세기병원,12856585,whg****,굿,9.22.금,4번째 방문
8,강북21세기병원,12856585,whg****,굿,9.8.금,3번째 방문
9,강북21세기병원,12856585,whg****,굿,8.31.목,2번째 방문
0,강북송도외과의원,20209877,cuj05167,굿,11.10.금,1번째 방문
1,강북송도외과의원,20209877,unh****,원장선생님 넘  친절하시고 좋으세요,11.10.금,1번째 방문
2,강북송도외과의원,20209877,ㅋㅋㅋㅋㅋㅋㅋㅋ3071,선생님 너무 친절하세요 과잉 진료 절대 없으십니다. 어머니 아버지 할머니 모두 모시고 오고 싶은 곳입니다. 다른 병원같은 경우 더한 진료보고 더 많은 비용 청구하고 하는데 여기는 절대 그런거 없어요. 감사합니다 선생님,10.31.화,1번째 방문
3,강북송도외과의원,20209877,꼬냥이54,친절해요,7.27.목,1번째 방문
4,강북송도외과의원,20209877,총유남,어제 치루 수술하고 1박 입원 후 오늘 아침 퇴원하고 집으로 왔습니다. 조목조목 설명 잘해주시고 친절하고 마음이 편안합니다. 의사선생님과 간호사 여러분께 감사드립니다.,7.11.화,1번째 방문
5,강북송도외과의원,20209877,보통82,"후기대로 정말 친절하고 과잉진료도 없네요~ 
최고의 선택이였습니다👍👍👍",7.3.월,1번째 방문
6,강북송도외과의원,20209877,썬키바리,친절해요 ,6.29.목,3번째 방문
7,강북송도외과의원,20209877,썬키바리,치,6.22.목,2번째 방문
8,강북송도외과의원,20209877,썬키바리,치핵4기 수술했어요 친절해요,6.20.화,1번째 방문
9,강북송도외과의원,20209877,붉은눈새,친절해요,6.8.목,1번째 방문
0,강북제일내과의원,1173040480,김경복49,친절해요,11.22.수,5번째 방문
1,강북제일내과의원,1173040480,김경복49,친절해요,11.21.화,4번째 방문
2,강북제일내과의원,1173040480,rla****,굿,11.21.화,1번째 방문
3,강북제일내과의원,1173040480,서나리2,굿,11.20.월,1번째 방문
4,강북제일내과의원,1173040480,범블대디,좋아요^^,11.18.토,2번째 방문
5,강북제일내과의원,1173040480,020677,"쏘쏘,,,동네 큰 내과라 다녀왔어요",11.18.토,3번째 방문
6,강북제일내과의원,1173040480,범블대디,친절해요^^,11.16.목,1번째 방문
7,강북제일내과의원,1173040480,asd3566130,친절해요 ,11.16.목,7번째 방문
8,강북제일내과의원,1173040480,김9086,"독감접종 하고왔어요.
병원이 컸는데 다들 안내도 친절하게 해주시고  빠르게 접종후 귀가했어요. 병원이 깨끗하고 주사비도 저렴해서 계속 다니려고합니다.",11.16.목,1번째 방문
9,강북제일내과의원,1173040480,냥3696, ,11.16.목,1번째 방문
0,강북편한치과의원,12853565,ksw****,굿,9.16.토,2번째 방문
1,강북편한치과의원,12853565,ksw****,굿,9.2.토,1번째 방문
2,강북편한치과의원,12853565,shalom530,적당합니다~,8.23.수,2번째 방문
3,강북편한치과의원,12853565,짝후주용24,병원,8.22.화,2번째 방문
4,강북편한치과의원,12853565,shalom530,적당합니다,8.22.화,1번째 방문
5,강북편한치과의원,12853565,럭키마미7,"너무너무 꼼꼼하게 신경치료 끝~!!!!  다음주에 진짜 마무리하는날  대장정이 끝이 보입니다  원장님 간호사님 실장님들 다 너무 감사해요 🥰  주변 소개 많이많이 할거예요 너무 잘하는 
병원임 내용 더보기",8.17.목,12번째 방문
6,강북편한치과의원,12853565,럭키마미7,"세번째 신경치료  다음번이 끝이다~! 마취주사가 무서워서  떨면서 갔는데 마취도 안하고 끝났네?? 턱이 좀 약한편이여서 이번에도 물리치료 했어용 눈 가리고 꿀맛같은 낮잠까지 자고
왔네요~  아프면 인형 누르라고 주셨는데 한번도  안눌렀네요 😉🫰🏻 감사합니다 다음주 치과 휴가전에 치료 다 끝나네요 신나요~~~!!!내용 더보기",8.4.금,11번째 방문
7,강북편한치과의원,12853565,럭키마미7, ,8.1.화,10번째 방문
8,강북편한치과의원,12853565,짝후주용24,병원,7.31.월,1번째 방문
9,강북편한치과의원,12853565,럭키마미7,"진짜 최고의 진료!!  신경치료 여기선 처음인데  전에 치료했던곳 기억이 있어서  진짜 긴장많이 했거든요 그런데 의사선생님도  그렇고 간호사님 실장님 진짜 너무너무  친절하고 설명
도 편하게 잘해주시고  너무 잘해주셔서 믿고 평생 다녀도 될  치과예요 🤭👍🏻 감사해요 내용 더보기",7.28.금,9번째 방문
0,강우상한의원,19518582,chw****,"처음 방문 했는데 친절하시고 세심하게
진료해주셔서 재방문 하겠습니다",11.16.목,1번째 방문
1,강우상한의원,19518582,phlee61,굿👍,9.26.화,7번째 방문
2,강우상한의원,19518582,phlee61,굿👍,9.25.월,6번째 방문
3,강우상한의원,19518582,kim****,"약의  효과를 보아서
너무 감사 합니다 ",8.24.목,4번째 방문
4,강우상한의원,19518582,phlee61,친절한 한의원,5.11.목,5번째 방문
5,강우상한의원,19518582,kim****,친절해요 ,5.1.월,3번째 방문
6,강우상한의원,19518582,par****,ㅎ,22.12.24.토,1번째 방문
7,강우상한의원,19518582,phlee61,친절한 한의원입니다,22.12.3.토,4번째 방문
8,강우상한의원,19518582,kim****,친절하고   좋은재료로 건강을 찾았어요 ,22.9.12.월,2번째 방문
9,강우상한의원,19518582,윤9298,좋아요,22.8.29.월,5번째 방문
0,강일태이비인후과의원,19514555,새새개,시설은 좀 예던모습니지만 의사선생님고 츤데레. 간호사 선생님도 좋아요^^,11.4.토,8번째 방문
1,강일태이비인후과의원,19514555,지영마미,친철하셔요,10.12.목,1번째 방문
2,강일태이비인후과의원,19514555,복숭아풋낯,콧 속에 심한 염증때문에 갔어요. 금방 진료해주셔서 감사했어요,9.22.금,1번째 방문
3,강일태이비인후과의원,19514555,kyena012583, ,9.20.수,1번째 방문
4,강일태이비인후과의원,19514555,fnvl414,아프면 항상가는 병원 좋아요,9.16.토,4번째 방문
5,강일태이비인후과의원,19514555,par****,친절하고 처방받은 약이 잘 들어요,9.11.월,1번째 방문
6,강일태이비인후과의원,19514555,준썬맘,친절 해요 ,8.18.금,1번째 방문
7,강일태이비인후과의원,19514555,케비니94,친절하고 진료를 잘보세요. 과잉진료도 하지않아요~~,8.16.수,3번째 방문
8,강일태이비인후과의원,19514555,cam****,좋아요,8.7.월,2번째 방문
9,강일태이비인후과의원,19514555,새새개,에고 코로나 확진이네여,7.31.월,7번째 방문
0,강재훈치과의원,19524931,혜원589,상담을 잘해주세요,11.9.목,7번째 방문
1,강재훈치과의원,19524931,혜원589,꼼꼼하게 잘해주세요,11.2.목,6번째 방문
2,강재훈치과의원,19524931,혜원589,친절해요 ,10.26.목,5번째 방문
3,강재훈치과의원,19524931,혜원589,친절해요 ,10.23.월,4번째 방문
4,강재훈치과의원,19524931,ASANYRJW,친절하고 진료를 잘해주세요,10.13.금,7번째 방문
5,강재훈치과의원,19524931,이 수파게티,꼼꼼해요.친절해요.믿음이 가요,10.6.금,5번째 방문
6,강재훈치과의원,19524931,이 수파게티,세심하고 친절해요. ,9.26.화,4번째 방문
7,강재훈치과의원,19524931,이 수파게티,친절해요,9.19.화,2번째 방문
8,강재훈치과의원,19524931,1hello1,😀,9.16.토,1번째 방문
9,강재훈치과의원,19524931,겨울바다94,"원장님이  진짜 세심하게 치료해 주세요
간호사님들도  변함없이  그대로여서 좋아요",5.13.토,1번째 방문
0,강치과의원,13272224,ohu****,굿,11.1.수,10번째 방문
1,강치과의원,13272224,ohu****,굿,10.26.목,9번째 방문
2,강치과의원,13272224,S라인69,친절합니다,10.20.금,1번째 방문
3,강치과의원,13272224,돌잔치엔얼마나가반니,좋아여,9.26.화,2번째 방문
4,강치과의원,13272224,쟈스민354,굿,9.16.토,7번째 방문
5,강치과의원,13272224,jem****,조아요,9.16.토,9번째 방문
6,강치과의원,13272224,msh****,자세한 설명 과  친절함에 마음이 편해요,9.7.목,2번째 방문
7,강치과의원,13272224,ohu****,"원장님 꼼꼼하게  진료잘하시고 간호사,  치위생사분들   모두 친절하세요ᆢ 멀지만  꼭  가서  진료받는 곳입니다내용 더보기",8.29.화,8번째 방문
8,강치과의원,13272224,써니안경,좋아요,8.17.목,1번째 방문
9,강치과의원,13272224,dud****,스케일링을 잘해요,8.16.수,1번째 방문
0,거평한의원,19513703,dlg****,친절합니다 ,10.31.화,1번째 방문
1,거평한의원,19513703,kmk****,의사쌤이 친절해요 ,8.5.토,1번째 방문
2,거평한의원,19513703,lk2yka,굿,7.3.월,1번째 방문
3,거평한의원,19513703,블루5547,굿,5.16.화,3번째 방문
4,거평한의원,19513703,ell****,"거평한의원 다닌지 오래되었어요,, 만성 위장장애로 인해,, 생활이 힘들어지면 양약으로 회복 불가한걸,, 보약 먹고 활력을 되찾고해요!! 너무나 믿음이 있는 곳이기에 저희 식구들 다 이
곳으로 다니고 있답니다^^ 시설은 좀 오래 되었지만,,  선생님 너무나 친절하시고,  보약 잘받는거 말할 것도 없고,,  침도 너무 잘 놓아주셔요,,  (보약 금액도 다른곳 보다 저렴하게 받으
세요,, 감사합니다^^) 진심 이런거 잘 안 쓰는데,, 쓰려고 영수증 챙겼어요 ㅎㅎ 거평한의원 오래오래 번창했음 좋겠어요!! 감사합니다~~내용 더보기",5.6.토,1번째 방문
5,거평한의원,19513703,alo****,좋아요:),5.4.목,5번째 방문
6,거평한의원,19513703,alo****,"어깨 다쳐서 오랜만에 갔어요. 여전히 다들 친절하시고, 잘 봐주세요:)",5.2.화,4번째 방문
7,거평한의원,19513703,블루5547,"친절하세요.
효과가 좋아요",4.18.화,2번째 방문
8,거평한의원,19513703,양돌님,꼼꼼한 진료와 침! 소화 안될때나 생리쪽 안좋을때 가서 한약 먹고 침 맞고 부황 뜨면 정말 건강해져요 과잉진료도 없어서 더 조아요 원장님의 오래된 내공이 느껴져요,2.13.월,1번째 방문
9,거평한의원,19513703,블루5547,친절하게 설명도 잘해주시고 치료도 잘해주시네요,1.16.월,1번째 방문
0,건강한성심의원,1701055262,싱후7,좋아요 ,11.3.금,1번째 방문
1,건강한성심의원,1701055262,gao****,좋아요 ,10.31.화,2번째 방문
2,건강한성심의원,1701055262,gao****,친절해요,10.27.금,1번째 방문
3,건강한성심의원,1701055262,jungsema,굳,10.26.목,5번째 방문
4,건강한성심의원,1701055262,박경미19,친절해요,9.27.수,2번째 방문
5,건강한성심의원,1701055262,윤탱73,친절해요 ,9.14.목,1번째 방문
6,건강한성심의원,1701055262,HEE7476,좋아요 😀 ,9.13.수,4번째 방문
7,건강한성심의원,1701055262,박경미19,친절해요,9.1.금,1번째 방문
8,건강한성심의원,1701055262,sim****,굿,8.24.목,1번째 방문
9,건강한성심의원,1701055262,jin****,굿,8.24.목,1번째 방문
0,건양한의원,19514026,minari99,어깨와 목 팔저림으로 봉침과 추나 받았습니다. 정형외과보다 효과가 있는 것 같아서 꾸준히 받아보려고 합니다. ,11.18.토,1번째 방문
1,건양한의원,19514026,시작이 반이다26,"속이 안좋아서 여기서 침맞고 한약먹었는데 많이 좋아졌어요
허리를 삐끗해서 치료받는중인데 다른곳보다 효과가 좋네요
원장님 친절하셔서 좋습니다~~",11.16.목,1번째 방문
2,건양한의원,19514026,lee****,친절하고 침도 잘 나주시고 상담도 잘해주세요,10.21.토,2번째 방문
3,건양한의원,19514026,lee****,친절한상담과 침치료 물리치료 넘 잘해주세요,9.22.금,1번째 방문
4,건양한의원,19514026,곰팅913,친절해요 ,9.18.월,3번째 방문
5,건양한의원,19514026,곰팅913,친절해요 ,9.11.월,2번째 방문
6,건양한의원,19514026,곰팅913,원장님  친절하시고  열정적이세요,9.8.금,1번째 방문
7,건양한의원,19514026,danmibang2,ㅣ,7.14.금,6번째 방문
8,건양한의원,19514026,danmibang2,ㅣ,7.10.월,5번째 방문
9,건양한의원,19514026,danmibang2,ㅣ,7.7.금,4번째 방문
0,건항외과의원,12056236,하마투,ㅇㅇ,10.4.수,1번째 방문
1,건항외과의원,12056236,noy4405,좋아요,7.12.수,2번째 방문
2,건항외과의원,12056236,noy4405,좋아요,7.4.화,1번째 방문
3,건항외과의원,12056236,서울 화이트트,친절해요 ,6.27.화,1번째 방문
4,건항외과의원,12056236,모모644,굳,5.19.금,1번째 방문
5,건항외과의원,12056236,tai****,굿,4.8.토,4번째 방문
6,건항외과의원,12056236,앵글러7,"항외과가  맞나 의심스러울 정도로 실력이 형편없으시더라구요 건성건성 대충대충 내시경 보고 오진 하심 치열과 치루 증상으로 내원햇으나  치질약 처방해주심....호전되질않아서  일
주일후 길 건너에 있는 송도외과의원에 다시 검사를받았더니  아주 자세히 내시경 보여주시며 치열과 치루라고 진단해주심 그곳에서 치료잘받구 좋아졌네요 참고하세요 여러분내용 더보기",3.27.월,1번째 방문
7,건항외과의원,12056236,tai****,굿,3.18.토,3번째 방문
8,건항외과의원,12056236,tai****,굿,3.14.화,2번째 방문
9,건항외과의원,12056236,wld****,항문외과중에 괜찮은곳!!,3.3.금,2번째 방문
0,경동한방병원,1098164584,승우앤,친절합니다,11.14.화,8번째 방문
1,경동한방병원,1098164584,kan****,많이 친절해요,11.10.금,1번째 방문
2,경동한방병원,1098164584,kjk****,친절합니다,11.10.금,1번째 방문
3,경동한방병원,1098164584,nan****,굿,10.30.월,1번째 방문
4,경동한방병원,1098164584,이종진8,친절함,10.10.화,1번째 방문
5,경동한방병원,1098164584,우리집짱48,허리아플때 갑니다,10.5.목,1번째 방문
6,경동한방병원,1098164584,베티부비,진료비가 좀 비싸서 아쉽지만 설명도 잘해주시고 친절해요,9.19.화,2번째 방문
7,경동한방병원,1098164584,장규민 서울 95,"원장님이 너무 친절하시고, 시설도 너무 깨끗하고 좋습니다.",9.18.월,1번째 방문
8,경동한방병원,1098164584,승우앤,친절합니다,9.14.목,7번째 방문
9,경동한방병원,1098164584,gentleman89,ㅇ,8.25.금,2번째 방문
0,경성한의원,1557091518,ttk****,"선생님이 친절하시고, 자상히 잘 알려주시네요^^
감사합니다~",10.4.수,2번째 방문
1,경성한의원,1557091518,ttk****,ㅎ,10.3.화,1번째 방문
2,경성한의원,1557091518,가우라78,"실내도  깔끔하구   원장님이 친절하시구  치료도 잘해주시네요
환자 마음을  잘알아주시구 다정한  선생님덕에 뺠리 치로가 되는 느낌이네요",7.31.월,1번째 방문
3,경성한의원,1557091518,jin337063,친절함 ,5.19.금,22번째 방문
4,경성한의원,1557091518,jin337063,좋아요 ,5.13.토,21번째 방문
5,경성한의원,1557091518,jin337063,친절해요 ,5.10.수,20번째 방문
6,경성한의원,1557091518,여우야34,너무 한의원이 좋아요,5.9.화,2번째 방문
7,경성한의원,1557091518,여우야34,시설이 너무 좋아요,5.6.토,1번째 방문
8,경성한의원,1557091518,jin337063,좋아요,4.10.월,19번째 방문
9,경성한의원,1557091518,바람처럼43,아픈곳도 꼼꼼하게 물어봐 주시고 무엇보다 친절하세요 어른들이 많이 가세요 저희 아버지도 종종가서 물리치료받겠다 하시고 좋ㅇ습니다,3.25.토,1번째 방문
0,경희금손한의원,1700108865,배꼽사냥꾼아내,친절 굳,6.19.월,1번째 방문
1,경희금손한의원,1700108865,쩡남이29,"올 해 새로 우리 동네 오픈한 경희금손한의원  어깨 목 결림 심해서  맛사지 만으로는 효과가 없는것 같아 들렀는데..  직원들과 원장님의 친절은 기본이고, 엎드릴때 허리가 아픈 저는 배
에 받침대 깔아주는 센스가 감사했고 배와 어깨 부위 핫팩, 부항,침,약침,뜸,파스...등등과  하루치 한방약 세 포 까지.....   새심하고 꼼꼼하게 치료 해 주셔서 감사한 마음으로  몸도 기분
도 가뿐하게 두번째 치료 끝나고 나왔습니다~^^  주변 지인분들께 꼭 추천 해 드리고 싶은 한의원 입니다♡ 내용 더보기",6.17.토,1번째 방문
2,경희금손한의원,1700108865,블루5547,굿,6.2.금,3번째 방문
3,경희금손한의원,1700108865,블루5547,굿,5.26.금,2번째 방문
4,경희금손한의원,1700108865,블루5547,친절하시고 치료도 잘해주십니다.,5.24.수,1번째 방문
5,경희금손한의원,1700108865,남태평양30,친절하게 잘봐주셔서 감사드려요 :),5.10.수,2번째 방문
6,경희금손한의원,1700108865,남태평양30,잘봐주셔서 감사드립니다 :),5.9.화,1번째 방문
7,경희금손한의원,1700108865,이연숙,친절해요,5.8.월,2번째 방문
8,경희금손한의원,1700108865,이연숙,깨끗해요,5.2.화,1번째 방문
9,경희금손한의원,1700108865,하이룽27,침을 참 잘.치료하셔요,3.11.토,2번째 방문
